Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_DA9169AA	EC20090698	SRR1183982;LS454;Single;;SRX481505;;;NEW,GCF_000626255;Complete Genome;;;;;;Complete Genome	SAL_DA9169AA	Poultry	Poultry	chicken-abbatoir-Sporadic	2008				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384173	SRS566021	2015-08-27	2015-03-05	Assembled	1	4680996	4680996		1	0	NaN	SAL_KA3468AA_AS
SAL_DA9170AA	EC20090641	SRR1183981;LS454;Single;;SRX481504;;;NEW,GCF_000626275;Complete Genome;;;;;;Complete Genome	SAL_DA9170AA	Poultry	Poultry	chicken-abbatoir-Sporadic	2008				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384172	SRS566020	2015-08-27	2015-03-05	Assembled	1	4712309	4712309		1	0	NaN	SAL_KA3404AA_AS
SAL_DA9183AA	EC20120929	GCF_000626415;Complete Genome;;;;;;Complete Genome	SAL_DA9183AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384339	SRS566194	2015-08-27	2015-03-05	Assembled	1	4623510	4623510		1	2	NaN	SAL_KA3461AA_AS
SAL_DA9184AA	EC20120927	GCF_000625155;Chromosome;;;;;;Chromosome	SAL_DA9184AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384338	SRS566193	2015-08-27	2015-03-05	Assembled	1	4685848	4685848		1	39334	NaN	SAL_PA7526AA_AS
SAL_DA9187AA	EC20120918	GCF_000625115;Chromosome;;;;;;Chromosome	SAL_DA9187AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384335	SRS566190	2015-08-27	2015-03-05	Assembled	1	4685848	4685848		1	39328	NaN	SAL_PA7580AA_AS
SAL_DA9188AA	EC20120917	GCF_000625095;Chromosome;;;;;;Chromosome	SAL_DA9188AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384334	SRS566189	2015-08-27	2015-03-05	Assembled	1	4685847	4685847		1	39598	NaN	SAL_PA7579AA_AS
SAL_DA9193AA	EC20120687	GCF_000625575;Chromosome;;;;;;Chromosome	SAL_DA9193AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	British Columbia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384329	SRS566184	2015-08-27	2015-03-05	Assembled	1	4685832	4685832		1	40932	NaN	SAL_PA7585AA_AS
SAL_DA9194AA	EC20120686	GCF_000625555;Chromosome;;;;;;Chromosome	SAL_DA9194AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	British Columbia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384328	SRS566183	2015-08-27	2015-03-05	Assembled	1	4685835	4685835		1	40408	NaN	SAL_PA7535AA_AS
SAL_DA9195AA	EC20120597	GCF_000625515;Chromosome;;;;;;Chromosome	SAL_DA9195AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384327	SRS566182	2015-08-27	2015-03-05	Assembled	1	4685845	4685845		1	41003	NaN	SAL_PA7534AA_AS
SAL_DA9196AA	EC20120590	GCF_000625495;Chromosome;;;;;;Chromosome	SAL_DA9196AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	Nova Scotia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384326	SRS566181	2015-08-27	2015-03-05	Assembled	1	4685840	4685840		1	41071	NaN	SAL_PA7597AA_AS
SAL_DA9204AA	EC20121180	GCF_000623135;Complete Genome;;;;;;Complete Genome	SAL_DA9204AA	Environment	Animal-related	environmental-chicken					North America	Canada	Quebec						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384318	SRS566173	2015-08-27	2015-03-05	Assembled	1	4685848	4685848		1	44	NaN	SAL_KA9540AA_AS
SAL_DA9206AA	EC20121178	GCF_000623095;Complete Genome;;;;;;Complete Genome	SAL_DA9206AA	Environment	Animal-related	environmental-chicken					North America	Canada	Quebec						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384316	SRS566171	2015-08-27	2015-03-05	Assembled	1	4685848	4685848		1	54	NaN	SAL_KA9541AA_AS
SAL_DA9210AA	EC20130348	GCF_000626075;Chromosome;;;;;;Chromosome	SAL_DA9210AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384312	SRS566167	2015-08-27	2015-03-05	Assembled	1	4685849	4685849		1	40672	NaN	SAL_PA7542AA_AS
SAL_DA9211AA	EC20130347	GCF_000626055;Chromosome;;;;;;Chromosome	SAL_DA9211AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384311	SRS566166	2015-08-27	2015-03-05	Assembled	1	4685847	4685847		1	39292	NaN	SAL_PA7541AA_AS
SAL_DA9212AA	EC20130346	GCF_000626035;Chromosome;;;;;;Chromosome	SAL_DA9212AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384310	SRS566165	2015-08-27	2015-03-05	Assembled	1	4685836	4685836		1	41155	NaN	SAL_PA7540AA_AS
SAL_DA9213AA	EC20130345	GCF_000626015;Chromosome;;;;;;Chromosome	SAL_DA9213AA	Poultry	Poultry	ANIMAL-chicken	2008				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384309	SRS566159	2015-08-27	2015-03-05	Assembled	1	4685849	4685849		1	39323	NaN	SAL_PA7539AA_AS
SAL_DA9216AA	EC20090530	GCF_000625395;Chromosome;;;;;;Chromosome	SAL_DA9216AA	Poultry	Poultry	ANIMAL-chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384306	SRS566155	2015-08-27	2015-03-05	Assembled	1	4685841	4685841		1	40668	NaN	SAL_PA7564AA_AS
SAL_DA9217AA	EC20100131	GCF_000625715;Chromosome;;;;;;Chromosome	SAL_DA9217AA	Poultry	Poultry	ANIMAL-chicken	2009				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384305	SRS566153	2015-08-27	2015-03-05	Assembled	1	4685847	4685847		1	39579	NaN	SAL_PA7474AA_AS
SAL_DA9229AA	EC20111561	GCF_000624355;Chromosome;;;;;;Chromosome	SAL_DA9229AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384293	SRS566141	2015-08-27	2015-03-05	Assembled	1	4685848	4685848		1	39598	NaN	SAL_PA7592AA_AS
SAL_DA9231AA	EC20120916	GCF_000624155;Complete Genome;;;;;;Complete Genome	SAL_DA9231AA	Poultry	Poultry	ANIMAL-chicken	2012				North America	Canada	Ontario						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384291	SRS566139	2015-08-27	2015-03-05	Assembled	1	4807994	4807994		1	707	NaN	SAL_KA3476AA_AS
SAL_DA9234AA	EC20111554	GCF_000624335;Chromosome;;;;;;Chromosome	SAL_DA9234AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	British Columbia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384288	SRS566136	2015-08-27	2015-03-05	Assembled	1	4685846	4685846		1	41034	NaN	SAL_PA7506AA_AS
SAL_DA9237AA	EC20120765	GCF_000624995;Chromosome;;;;;;Chromosome	SAL_DA9237AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	British Columbia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384285	SRS566133	2015-08-27	2015-03-05	Assembled	1	4685984	4685984		1	40906	NaN	SAL_PA7576AA_AS
SAL_DA9242AA	EC20120677	GCF_000625755;Chromosome;;;;;;Chromosome	SAL_DA9242AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384280	SRS566128	2015-08-27	2015-03-05	Assembled	1	4685846	4685846		1	39321	NaN	SAL_PA7476AA_AS
SAL_DA9252AA	EC20111510	GCF_000626555;Chromosome;;;;;;Chromosome	SAL_DA9252AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	British Columbia						Enteritidis	I			Public Health Agency Canada			PRJNA219482	SRP039437	SAMN02384270	SRS566118	2015-08-27	2015-03-05	Assembled	1	4685842	4685842		1	40747	NaN	SAL_PA7485AA_AS
SAL_DA9262AA	EC20111514	GCF_000624295;Chromosome;;;;;;Chromosome	SAL_DA9262AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384260	SRS566108	2015-08-27	2015-03-05	Assembled	1	4685845	4685845		1	40740	NaN	SAL_PA7505AA_AS
SAL_DA9263AA	EC20111515	GCF_000624315;Chromosome;;;;;;Chromosome	SAL_DA9263AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Alberta						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384259	SRS566107	2015-08-27	2015-03-05	Assembled	1	4685847	4685847		1	40956	NaN	SAL_PA7468AA_AS
SAL_DA9266AA	EC20111576	GCF_000624375;Chromosome;;;;;;Chromosome	SAL_DA9266AA	Poultry	Poultry	ANIMAL-chicken	2010				North America	Canada	Ontario						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384256	SRS566104	2015-08-27	2015-03-05	Assembled	1	4685845	4685845		1	40951	NaN	SAL_PA7507AA_AS
SAL_DA9267AA	EC20120685	GCF_000625535;Chromosome;;;;;;Chromosome	SAL_DA9267AA	Poultry	Poultry	ANIMAL-chicken	2011				North America	Canada	British Columbia						Enteritidis	I			Laboratory for Foodborne Zoonoses, Public Health Agency of Canada			PRJNA219482	SRP039437	SAMN02384255	SRS566103	2015-08-27	2015-03-05	Assembled	1	4685833	4685833		1	52555	NaN	SAL_PA7470AA_AS
SAL_EA9711AA	SA02DT10168701	GCF_001441205;Complete Genome;;;;;;Complete Genome,SRR2598330;ILLUMINA;Paired;;SRX1321402;;;SRA	SAL_EA9711AA	Food	Avian	chicken meat	2010				North America	Canada	Quebec						Heidelberg	I			Laboratory for Foodborne Zoonoses	29		PRJNA224116		SAMN04156749	SRS1109567	2016-02-08	2015-11-09	Assembled	1	4751447	4888155		3	0	NaN	SAL_KA3382AA_AS
SAL_EA9758AA	OLF-SE8	GCF_000750255;Complete Genome;;;;;;Complete Genome,SRR1533832;LS454;Paired;;SRX667222;;;SRA	SAL_EA9758AA	Poultry	Poultry	chicken	2010				North America	Canada							Enteritidis	I			Canadian Food Inspection Agency			PRJNA224116		SAMN02941164	SRS671881	2016-02-08	2014-09-09	Assembled	1	4667283	4667283		1	0	NaN	SAL_KA3448AA_AS
SAL_HA6082AA	FDA0984429-001-001	SRR5076599;ILLUMINA;Paired;500;SRX2395552;527969232;216;SRA	SAL_HA6082AA	Animal Feed	Avian	chicken:foodon_03411457, pet treat:genepio_0001056; animal feed; chicken jerky pet treat	2016	10			North America	Canada							Cannstatt				FDA Center for Food Safety and Applied Nutrition			PRJNA186035	SRP018785	SAMN06068112	SRS1836856	2016-12-05	2015-01-01	Assembled	110	400216	4767654	Salmonella enterica;100.0%	65	3612	3.51	SAL_PA2483AA_AS
SAL_HA6085AA	FDA984415 1-7	SRR5076598;ILLUMINA;Paired;500;SRX2395549;364882950;225;SRA	SAL_HA6085AA	Animal Feed	Avian	chicken:foodon_03411457, pet treat:genepio_0001056; animal feed; chicken jerky pet treat	2016	10			North America	Canada							Cannstatt				FDA Center for Food Safety and Applied Nutrition			PRJNA186035	SRP018785	SAMN06068114	SRS1836853	2016-12-05	2015-01-01	Assembled	76	319805	4766903	Salmonella enterica;100.0%	66	5373	3.51	SAL_PA2486AA_AS
SAL_IA5793AA	N13-02946	SRR5241852;ILLUMINA;Paired;;SRX2548700;633112168;299;SRA	SAL_IA5793AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	New Brunswick						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278993	SRS1967268	2017-02-14	2017-02-08	Assembled	129	412159	4892161	Salmonella enterica;97.06%	48	3513	3.61	SAL_QA6290AA_AS
SAL_IA5794AA	N13-01336	SRR5241851;ILLUMINA;Paired;;SRX2548699;666250520;298;SRA	SAL_IA5794AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279021	SRS1967267	2017-02-14	2017-02-08	Assembled	136	694169	4868916	Salmonella enterica;93.95%	46	2561	3.61	SAL_QA6289AA_AS
SAL_IA5795AA	N13-02943	SRR5241850;ILLUMINA;Paired;;SRX2548698;676065910;299;SRA	SAL_IA5795AA	Poultry	Poultry	Animal cecal content (chicken)	2011				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278990	SRS1967266	2017-02-14	2017-02-08	Assembled	139	694158	4858608	Salmonella enterica;97.05%	42	2871	3.61	SAL_QA5825AA_AS
SAL_IA5796AA	N13-02941	SRR5241849;ILLUMINA;Paired;;SRX2548697;577488002;299;SRA	SAL_IA5796AA	Poultry	Poultry	Animal cecal content (chicken)	2011				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278989	SRS1967265	2017-02-14	2017-02-08	Assembled	118	439771	4857830	Salmonella enterica;96.67%	40	3201	3.61	SAL_QA5824AA_AS
SAL_IA5799AA	N13-02934	SRR5241846;ILLUMINA;Paired;;SRX2548694;1047695402;299;SRA	SAL_IA5799AA	Poultry	Poultry	Animal cecal content (chicken)	2011				North America	Canada	New Brunswick						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278997	SRS1967262	2017-02-14	2017-02-08	Assembled	215	693848	4869847	Salmonella enterica;100.0%	43	2491	3.61	SAL_QA6543AA_AS
SAL_IA5800AA	N13-01349	SRR5241844;ILLUMINA;Paired;;SRX2548693;987863110;299;SRA	SAL_IA5800AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279044	SRS1967260	2017-02-14	2017-02-08	Assembled	305	299025	4856665	Salmonella enterica;96.55%	42	64119	4.1	SAL_MC3788AA_AS
SAL_IA5801AA	N13-01337	SRR5241843;ILLUMINA;Paired;;SRX2548692;553536906;299;SRA	SAL_IA5801AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279032	SRS1967261	2017-02-14	2017-02-08	Assembled	117	660030	4729572	Salmonella enterica;100.0%	51	3559	3.61	SAL_QA6261AA_AS
SAL_IA5802AA	N13-01332	SRR5241842;ILLUMINA;Paired;;SRX2548691;727295500;250;SRA	SAL_IA5802AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279031	SRS1967259	2017-02-14	2017-02-08	Assembled	153	660899	4725319	Salmonella enterica;100.0%	47	4579	3.61	SAL_QA5818AA_AS
SAL_IA5804AA	N13-02947	SRR5241840;ILLUMINA;Paired;;SRX2548689;760910748;299;SRA	SAL_IA5804AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278994	SRS1967257	2017-02-14	2017-02-08	Assembled	156	412162	4862202	Salmonella enterica;95.0%	50	4802	3.61	SAL_QA6288AA_AS
SAL_IA5805AA	N13-01323	SRR5241839;ILLUMINA;Paired;;SRX2548688;839114000;250;SRA	SAL_IA5805AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279001	SRS1967256	2017-02-14	2017-02-08	Assembled	176	439677	4761974	Salmonella enterica;96.67%	37	2011	3.61	SAL_QA5815AA_AS
SAL_IA5806AA	N13-01355	SRR5241838;ILLUMINA;Paired;;SRX2548687;847631512;299;SRA	SAL_IA5806AA	Food	Avian	Food pre-packaged (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279045	SRS1967255	2017-02-14	2017-02-08	Assembled	174	694096	4861198	Salmonella enterica;97.06%	43	3417	3.61	SAL_QA6300AA_AS
SAL_IA5808AA	N13-01330	SRR5241836;ILLUMINA;Paired;;SRX2548685;783580590;249;SRA	SAL_IA5808AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279004	SRS1967253	2017-02-14	2017-02-08	Assembled	164	725307	4764948	Salmonella enterica;100.0%	39	3147	3.61	SAL_QA5389AA_AS
SAL_IA5809AA	N13-01342	SRR5241835;ILLUMINA;Paired;;SRX2548684;1107858986;299;SRA	SAL_IA5809AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279022	SRS1967252	2017-02-14	2017-02-08	Assembled	227	694188	4866382	Salmonella enterica;97.23%	46	2200	3.61	SAL_QA5388AA_AS
SAL_IA5810AA	N13-02949	SRR5241834;ILLUMINA;Paired;;SRX2548683;433703936;296;SRA	SAL_IA5810AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278996	SRS1967251	2017-02-14	2017-02-08	Assembled	88	412096	4898702	Salmonella enterica;96.96%	42	3983	3.61	SAL_QA5387AA_AS
SAL_IA5811AA	N13-01329	SRR5241833;ILLUMINA;Paired;;SRX2548682;668515562;299;SRA	SAL_IA5811AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279030	SRS1967250	2017-02-14	2017-02-08	Assembled	140	642857	4760302	Salmonella enterica;100.0%	40	2563	3.61	SAL_QA5386AA_AS
SAL_IA5812AA	N13-01348	SRR5241832;ILLUMINA;Paired;;SRX2548681;740851194;249;SRA	SAL_IA5812AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279005	SRS1967249	2017-02-14	2017-02-08	Assembled	155	740519	4761095	Salmonella enterica;100.0%	34	2653	3.61	SAL_QA5385AA_AS
SAL_IA5813AA	N13-01351	SRR5241831;ILLUMINA;Paired;;SRX2548680;852877000;250;SRA	SAL_IA5813AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279035	SRS1967248	2017-02-14	2017-02-08	Assembled	177	732010	4799752	Salmonella enterica;100.0%	41	3616	3.61	SAL_QA5384AA_AS
SAL_IA5815AA	N13-01352	SRR5241829;ILLUMINA;Paired;;SRX2548678;606017500;250;SRA	SAL_IA5815AA	Food	Avian	Food aliquot (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279023	SRS1967246	2017-02-14	2017-02-08	Assembled	123	725306	4903608	Salmonella enterica;97.15%	47	4895	3.61	SAL_QA5382AA_AS
SAL_IA5816AA	N13-01324	SRR5241828;ILLUMINA;Paired;;SRX2548677;677847500;250;SRA	SAL_IA5816AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279002	SRS1967245	2017-02-14	2017-02-08	Assembled	142	693184	4761229	Salmonella enterica;96.43%	37	3166	3.61	SAL_QA5381AA_AS
SAL_IA5817AA	N13-02945	SRR5241827;ILLUMINA;Paired;;SRX2548676;654968240;298;SRA	SAL_IA5817AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Ontario						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06278992	SRS1967244	2017-02-14	2017-02-08	Assembled	134	412162	4887775	Salmonella enterica;95.25%	50	3661	3.61	SAL_QA5380AA_AS
SAL_IA5818AA	N13-01325	SRR5241826;ILLUMINA;Paired;;SRX2548675;789848418;249;SRA	SAL_IA5818AA	Poultry	Poultry	Animal cecal content (chicken)	2012				North America	Canada	Quebec						Heidelberg	I			Public Health Agency of Canada			PRJNA369657	SRP099025	SAMN06279003	SRS1967243	2017-02-14	2017-02-08	Assembled	165	439725	4760923	Salmonella enterica;100.0%	41	3460	3.61	SAL_QA5379AA_AS
